,id,country,city,cities,location,locations,sourceName,sourceNames,sourceType,sourceTypes,firstUpdated,lastUpdated,parameters,countsByMeasurement,count,coordinates.longitude,coordinates.latitude
34,ES-57,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1892A,"['Badalona (Mont-roig - Ausiàs March)', 'Badalona (Mont-roig - Ausi�s March)', 'ES1892A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'o3', 'so2']","[{'parameter': 'no2', 'count': 13046}, {'parameter': 'o3', 'count': 12117}, {'parameter': 'so2', 'count': 13201}]",38364,2.23788,41.44398
35,ES-317,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1899A,"['Santa Margarida i els Monjos (la Ràpita)', 'Santa Margarida i els Monjos (la R�pita)', 'ES1899A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-19 03:00:00+00:00,2020-03-06 17:00:00+00:00,['no2'],"[{'parameter': 'no2', 'count': 9001}]",9001,1.64734,41.3084
36,ES-15,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1903A,"['Viladecans (Atrium)', 'ES1903A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 17:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 10498}, {'parameter': 'no2', 'count': 9859}, {'parameter': 'o3', 'count': 10013}, {'parameter': 'so2', 'count': 10064}]",40434,2.01382,41.31348
37,ES-207,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1910A,"['Gavà (parc del Mil·leni)', 'Gav� (parc del Mil�leni)', 'ES1910A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-18 00:00:00+00:00,2020-03-06 17:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 9766}, {'parameter': 'no2', 'count': 9487}, {'parameter': 'o3', 'count': 9525}, {'parameter': 'so2', 'count': 9356}]",38134,1.99152,41.30311
38,ES-90,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1923A,"['Tona (zona esportiva)', 'ES1923A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'o3']","[{'parameter': 'no2', 'count': 13115}, {'parameter': 'o3', 'count': 13151}]",26266,2.21758,41.84604
39,ES-26,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1929A,"['el Prat de Llobregat (jardins de la pau)', 'ES1929A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'so2']","[{'parameter': 'no2', 'count': 13051}, {'parameter': 'so2', 'count': 13242}]",26293,2.09773,41.3215
40,ES-332,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1964A,"['Sant Feliu de Llobregat (CEIP Martí i Pol)', 'Sant Feliu de Llobregat (CEIP Mart� i Pol)', 'ES1964A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-24 10:00:00+00:00,2019-12-24 17:00:00+00:00,"['no2', 'so2']","[{'parameter': 'no2', 'count': 6983}, {'parameter': 'so2', 'count': 8997}]",15980,2.05739,41.38664
41,ES-95,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1983A,"['El Prat de Llobregat (CEM Sagnier)', 'ES1983A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 17:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 9922}, {'parameter': 'no2', 'count': 9778}, {'parameter': 'o3', 'count': 8832}, {'parameter': 'so2', 'count': 9721}]",38253,2.08214,41.32177
42,ES-118,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1992A,"['Barcelona (Palau Reial)', 'ES1992A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 13341}, {'parameter': 'no2', 'count': 12529}, {'parameter': 'o3', 'count': 11602}, {'parameter': 'so2', 'count': 12779}]",50251,2.11515,41.38749
43,ES-323,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES2011A,"['Sant Vicenç dels Horts (Àlaba)', 'Sant Vicen� dels Horts (�laba)', 'ES2011A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-19 03:00:00+00:00,2020-03-06 17:00:00+00:00,"['no2', 'so2']","[{'parameter': 'no2', 'count': 8744}, {'parameter': 'so2', 'count': 8765}]",17509,1.99963,41.40077
44,ES-325,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES2012A,"['Pallejà (Roca de Vilana)', 'Pallej� (Roca de Vilana)', 'ES2012A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-19 03:00:00+00:00,2020-03-06 17:00:00+00:00,"['no2', 'so2']","[{'parameter': 'no2', 'count': 8741}, {'parameter': 'so2', 'count': 8791}]",17532,1.99052,41.41532
