,location,parameter,value,country,city,latitude,longitude,date
212,ES1815A,o3,51,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-03:00:00
213,ES1851A,o3,52,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-03:00:00
214,ES1992A,o3,63,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-03:00:00
215,ES1397A,no2,33,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-03:00:00
216,ES1453A,no2,49,ES,Barcelona,41.4473502534671,2.209511187,2020_03_08-03:00:00
217,ES1125A,no2,20,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-03:00:00
218,ES1817A,no2,44,ES,Barcelona,41.5267059304669,2.183795315,2020_03_08-03:00:00
219,ES1816A,no2,13,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-03:00:00
220,ES1992A,no2,16,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-03:00:00
221,ES1892A,no2,52,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-03:00:00
222,ES1438A,no2,44,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-03:00:00
223,ES0692A,no2,33,ES,Barcelona,41.3705041074673,2.114973082,2020_03_08-03:00:00
224,ES1339A,no2,16,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-03:00:00
225,ES1814A,no2,41,ES,Barcelona,41.5491688934669,2.212050059,2020_03_08-03:00:00
226,ES1126A,no2,39,ES,Barcelona,41.4754091344671,1.921203402,2020_03_08-03:00:00
227,ES1275A,no2,21,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-03:00:00
228,ES1815A,no2,9,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-03:00:00
229,ES1679A,no2,34,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-03:00:00
230,ES0584A,no2,43,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-03:00:00
231,ES1148A,no2,59,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-03:00:00
232,ES1816A,o3,71,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-03:00:00
233,ES0694A,no2,32,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-03:00:00
234,ES0691A,no2,37,ES,Barcelona,41.4038818504672,2.204522594,2020_03_08-03:00:00
235,ES1923A,no2,3,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-03:00:00
236,ES1929A,no2,39,ES,Barcelona,41.3214952094674,2.09772526,2020_03_08-03:00:00
237,ES0971A,no2,36,ES,Barcelona,41.4507693384671,1.974887306,2020_03_08-03:00:00
238,ES1778A,no2,2,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-03:00:00
239,ES1773A,no2,11,ES,Barcelona,41.2022318394677,1.672200024,2020_03_08-03:00:00
240,ES1396A,no2,38,ES,Barcelona,41.3788028014672,2.133098078,2020_03_08-03:00:00
241,ES1778A,o3,73,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-03:00:00
242,ES1262A,o3,43,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-03:00:00
243,ES1642A,o3,19,ES,Barcelona,41.9356663994661,2.238568301,2020_03_08-03:00:00
244,ES1125A,o3,26,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-03:00:00
245,ES1923A,o3,42,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-03:00:00
246,ES0694A,o3,15,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-03:00:00
247,ES1018A,o3,48,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-03:00:00
248,ES1222A,o3,41,ES,Barcelona,41.6912731944666,2.440944864,2020_03_08-03:00:00
249,ES1480A,o3,38,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-03:00:00
250,ES1148A,o3,5,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-03:00:00
251,ES0584A,o3,4,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-03:00:00
252,ES1679A,o3,33,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-03:00:00
253,ES1856A,o3,54,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-03:00:00
254,ES1684A,o3,17,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-03:00:00
255,ES1135A,o3,22,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-03:00:00
256,ES1851A,no2,12,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-03:00:00
257,ES1891A,o3,38,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-03:00:00
258,ES1684A,no2,36,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-03:00:00
259,ES1856A,no2,16,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-03:00:00
260,ES1018A,no2,20,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-03:00:00
261,ES1135A,no2,16,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-04:00:00
262,ES1262A,o3,45,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-04:00:00
263,ES1438A,o3,44,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-04:00:00
264,ES0584A,o3,4,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-04:00:00
265,ES1892A,o3,26,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-04:00:00
266,ES1992A,o3,78,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-04:00:00
267,ES1679A,o3,55,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-04:00:00
268,ES1856A,o3,70,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-04:00:00
269,ES1778A,o3,78,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-04:00:00
270,ES1815A,o3,43,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-04:00:00
271,ES1891A,o3,31,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-04:00:00
272,ES1222A,o3,35,ES,Barcelona,41.6912731944666,2.440944864,2020_03_08-04:00:00
273,ES1125A,o3,26,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-04:00:00
274,ES1642A,o3,21,ES,Barcelona,41.9356663994661,2.238568301,2020_03_08-04:00:00
275,ES1135A,o3,19,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-04:00:00
276,ES1480A,o3,51,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-04:00:00
277,ES1275A,o3,9,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-04:00:00
278,ES1148A,o3,7,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-04:00:00
279,ES1397A,o3,22,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-04:00:00
280,ES1339A,o3,53,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-04:00:00
281,ES0694A,o3,8,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-04:00:00
282,ES1018A,o3,56,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-04:00:00
