CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019043_10_20200121,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,21,21/01/2020,3,V,2,V,3,V,2,V,3,V,7,V,6,V,13,V,14,V,22,V,31,V,33,V,44,V,54,V,57,V,55,V,53,V,46,V,42,V,37,V,36,V,36,V,38,V,31,V,"(41.385315, 2.1537998)"
08019043_10_20200122,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,22,22/01/2020,25,V,20,V,11,V,8,V,8,V,6,V,9,V,11,V,17,V,31,V,68,V,92,V,90,V,90,V,86,V,79,V,76,V,76,V,75,V,74,V,72,V,70,V,65,V,58,V,"(41.385315, 2.1537998)"
08019043_10_20200123,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,23,23/01/2020,55,V,48,V,42,V,41,V,40,V,36,V,57,V,64,V,52,V,50,V,32,V,23,V,21,V,33,V,37,V,57,V,68,V,67,V,66,V,57,V,62,V,77,V,92,V,91,V,"(41.385315, 2.1537998)"
08019043_10_20200124,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,24,24/01/2020,89,V,96,V,87,V,75,V,59,V,54,V,59,V,69,V,92,V,105,V,117,V,129,V,113,V,139,V,150,V,161,V,156,V,123,V,103,V,100,V,99,V,98,V,104,V,103,V,"(41.385315, 2.1537998)"
08019043_10_20200125,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,25,25/01/2020,90,V,85,V,90,V,89,V,88,V,95,V,92,V,91,V,84,V,99,V,120,V,115,V,100,V,88,V,91,V,97,V,105,V,94,V,96,V,95,V,86,V,81,V,68,V,62,V,"(41.385315, 2.1537998)"
08019043_10_20200126,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,26,26/01/2020,67,V,62,V,55,V,48,V,48,V,43,V,39,V,36,V,35,V,36,V,38,V,37,V,32,V,26,V,24,V,46,V,50,V,48,V,45,V,37,V,36,V,37,V,30,V,23,V,"(41.385315, 2.1537998)"
08019043_10_20200127,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,27,27/01/2020,25,V,21,V,13,V,10,V,4,V,6,V,8,V,13,V,19,V,23,V,22,V,26,V,23,V,27,V,25,V,35,V,31,V,27,V,23,V,19,V,23,V,26,V,23,V,17,V,"(41.385315, 2.1537998)"
08019043_10_20200128,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,28,28/01/2020,21,V,15,V,10,V,11,V,15,V,11,V,14,V,17,V,16,V,20,V,22,V,20,V,19,V,17,V,12,V,10,V,13,V,14,V,14,V,18,V,23,V,24,V,16,V,22,V,"(41.385315, 2.1537998)"
08019043_10_20200129,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,29,29/01/2020,37,V,30,V,29,V,29,V,23,V,19,V,32,V,30,V,40,V,41,V,33,V,30,V,29,V,34,V,35,V,24,V,30,V,30,V,36,V,35,V,29,V,33,V,30,V,32,V,"(41.385315, 2.1537998)"
08019043_10_20200130,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,30,30/01/2020,28,V,28,V,29,V,29,V,27,V,28,V,30,V,27,V,28,V,23,V,13,V,15,V,16,V,,N,,N,,N,,N,10,V,10,V,9,V,14,V,19,V,37,V,33,V,"(41.385315, 2.1537998)"
