lastUpdated,parameter,value,unit,sourceName,country,city,location,averagingPeriod.value,averagingPeriod.unit
2020-03-06 19:00:00+00:00,no2,32,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1891A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1892A,1,hours
2020-03-06 19:00:00+00:00,o3,58,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1892A,1,hours
2020-03-06 19:00:00+00:00,no2,28,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1892A,1,hours
2020-03-06 17:00:00+00:00,no2,4,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1899A,1,hours
2020-03-06 17:00:00+00:00,co,300,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1903A,1,hours
2020-03-06 17:00:00+00:00,no2,7,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1903A,1,hours
2020-03-06 17:00:00+00:00,so2,3,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1903A,1,hours
2020-03-06 17:00:00+00:00,o3,88,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1903A,1,hours
2020-03-06 17:00:00+00:00,so2,3,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1910A,1,hours
2020-03-06 17:00:00+00:00,co,400,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1910A,1,hours
2020-03-06 17:00:00+00:00,no2,5,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1910A,1,hours
2020-03-06 17:00:00+00:00,o3,89,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1910A,1,hours
2020-03-06 19:00:00+00:00,no2,7,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1923A,1,hours
