CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
43103001_8_20200125,43103001,43,103,1,Perafort (Puigdelfí),Perafort,41.193604,1.2367008,97,industrial,rural,8,NO2,µg/m3,43103001_8_8,2020,1,25,25/01/2020,17,V,17,V,14,V,13,V,14,V,15,V,14,V,15,V,20,V,20,V,18,V,22,V,17,V,14,V,13,V,11,V,11,V,19,V,24,V,22,V,20,V,19,V,20,V,17,V,"(41.193604, 1.2367008)"
25172001_14_20200125,25172001,25,172,1,Ponts,Ponts,41.906708,1.1930013,370,background,rural,14,O3,µg/m3,25172001_14_6,2020,1,25,25/01/2020,10,V,10,V,11,V,14,V,13,V,11,V,12,V,11,V,6,V,11,V,11,V,21,V,20,V,32,V,29,V,59,V,63,V,64,V,51,V,32,V,23,V,19,V,22,V,21,V,"(41.906708, 1.1930013)"
08184006_14_20200125,8184006,8,184,6,Rubí,Rubí,41.492115,2.0424972,171,background,suburban,14,O3,µg/m3,08184006_14_6,2020,1,25,25/01/2020,2,V,1,V,1,V,2,V,2,V,3,V,2,V,2,V,2,V,2,V,3,V,3,V,4,V,8,V,19,V,43,V,31,V,29,V,34,V,25,V,18,V,3,V,3,V,3,V,"(41.492115, 2.0424972)"
43014001_10_20200125,43014001,43,14,1,Amposta,Amposta,40.706703,0.5817011,8,background,suburban,10,PM10,µg/m3,43014001_10_47,2020,1,25,25/01/2020,73,V,74,V,71,V,61,V,59,V,59,V,53,V,61,V,70,V,66,V,74,V,81,V,81,V,76,V,73,V,74,V,74,V,74,V,72,V,72,V,79,V,88,V,91,V,80,V,"(40.706703, 0.5817011)"
08121013_14_20200125,8121013,8,121,13,Mataró,Mataró,41.547176,2.4432983,40,background,urban,14,O3,µg/m3,08121013_14_6,2020,1,25,25/01/2020,4,V,4,V,11,V,14,V,21,V,14,V,9,V,4,V,17,V,27,V,32,V,49,V,62,V,64,V,67,V,65,V,57,V,42,V,30,V,36,V,43,V,41,V,46,V,45,V,"(41.547176, 2.4432983)"
43162002_8_20200125,43162002,43,162,2,Vandellòs (Viver),Vandellòs i l'Hospitalet de l',41.009453,0.91277903,60,industrial,rural,8,NO2,µg/m3,43162002_8_8,2020,1,25,25/01/2020,10,V,14,V,13,V,11,V,11,V,12,V,13,V,16,V,16,V,10,V,10,V,9,V,11,V,11,V,7,V,8,V,7,V,9,V,17,V,23,V,19,V,16,V,16,V,8,V,"(41.009453, 0.91277903)"
08202001_10_20200125,8202001,8,202,1,Sant Celoni,Sant Celoni,41.6891,2.495701,145,background,suburban,10,PM10,µg/m3,08202001_10_47,2020,1,25,25/01/2020,41,V,36,V,33,V,31,V,28,V,28,V,28,V,32,V,35,V,47,V,46,V,62,V,78,V,75,V,67,V,66,V,67,V,60,V,55,V,64,V,57,V,67,V,49,V,48,V,"(41.6891, 2.495701)"
08019004_8_20200125,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,8,NO2,µg/m3,08019004_8_8,2020,1,25,25/01/2020,50,V,48,V,44,V,42,V,40,V,39,V,38,V,37,V,37,V,41,V,41,V,44,V,46,V,47,V,28,V,18,V,14,V,15,V,24,V,32,V,43,V,46,V,66,V,58,V,"(41.40388, 2.204501)"
08187012_14_20200125,8187012,8,187,12,Sabadell,Sabadell,41.561214,2.1011107,210,traffic,urban,14,O3,µg/m3,08187012_14_6,2020,1,25,25/01/2020,14,V,12,V,15,V,8,V,7,V,7,V,5,V,1,V,1,V,1,V,3,V,7,V,19,V,39,V,48,V,48,V,38,V,25,V,4,V,3,V,6,V,7,V,6,V,11,V,"(41.561214, 2.1011107)"
08279011_8_20200125,8279011,8,279,11,Terrassa,Terrassa,41.556114,2.0073977,109,traffic,urban,8,NO2,µg/m3,08279011_8_8,2020,1,25,25/01/2020,47,V,46,V,36,V,26,V,25,V,29,V,35,V,30,V,40,V,45,V,57,V,54,V,42,V,27,V,43,V,37,V,42,V,59,V,93,V,92,V,83,V,74,V,66,V,49,V,"(41.556114, 2.0073977)"
