CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08089005_14_20200105,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,5,05/01/2020,21,V,24,V,40,V,33,V,26,V,22,V,21,V,26,V,19,V,16,V,19,V,25,V,28,V,37,V,33,V,31,V,25,V,25,V,12,V,12,V,18,V,23,V,13,V,33,V,"(41.303097, 1.9914981)"
08089005_14_20200106,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,6,06/01/2020,51,V,46,V,33,V,33,V,29,V,41,V,56,V,57,V,46,V,47,V,61,V,68,V,76,V,71,V,73,V,77,V,41,V,27,V,23,V,22,V,21,V,21,V,25,V,22,V,"(41.303097, 1.9914981)"
08089005_14_20200107,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,7,07/01/2020,30,V,26,V,21,V,19,V,16,V,15,V,10,V,5,V,4,V,5,V,12,V,16,V,35,V,41,V,54,V,58,V,33,V,15,V,11,V,8,V,6,V,9,V,10,V,10,V,"(41.303097, 1.9914981)"
08089005_14_20200131,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,31,31/01/2020,20,V,16,V,17,V,23,V,16,V,10,V,8,V,8,V,4,V,4,V,12,V,29,V,35,V,36,V,39,V,43,V,27,V,13,V,3,V,18,V,19,V,6,V,11,V,5,V,"(41.303097, 1.9914981)"
08089005_14_20200130,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,30,30/01/2020,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,3,V,7,V,15,V,16,V,24,V,49,V,52,V,35,V,17,V,19,V,21,V,11,V,13,V,16,V,18,V,"(41.303097, 1.9914981)"
08089005_14_20200129,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,29,29/01/2020,18,V,20,V,16,V,16,V,13,V,11,V,6,V,5,V,3,V,5,V,26,V,19,V,20,V,26,V,22,V,48,V,45,V,21,V,10,V,12,V,10,V,5,V,2,V,1,V,"(41.303097, 1.9914981)"
08089005_14_20200128,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,28,28/01/2020,68,V,68,V,67,V,63,V,68,V,62,V,31,V,10,V,,N,,N,,N,,N,,N,62,V,56,V,61,V,66,V,57,V,65,V,67,V,65,V,54,V,16,V,13,V,"(41.303097, 1.9914981)"
08089005_14_20200127,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,27,27/01/2020,27,V,25,V,23,V,20,V,20,V,22,V,18,V,8,V,8,V,34,V,65,V,73,V,75,V,75,V,71,V,65,V,62,V,53,V,40,V,34,V,30,V,46,V,65,V,70,V,"(41.303097, 1.9914981)"
08089005_14_20200126,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,26,26/01/2020,17,V,33,V,46,V,52,V,34,V,19,V,18,V,17,V,14,V,12,V,26,V,41,V,59,V,62,V,62,V,66,V,67,V,58,V,33,V,49,V,45,V,27,V,17,V,25,V,"(41.303097, 1.9914981)"
08089005_14_20200125,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,25,25/01/2020,20,V,22,V,15,V,6,V,9,V,9,V,9,V,29,V,30,V,27,V,34,V,40,V,45,V,43,V,40,V,41,V,36,V,25,V,11,V,5,V,7,V,8,V,25,V,17,V,"(41.303097, 1.9914981)"
