,location,parameter,value,country,city,latitude,longitude,date
132,ES1018A,o3,53,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-05:00:00
133,ES1397A,o3,29,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-05:00:00
134,ES1891A,o3,19,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-05:00:00
135,ES1851A,o3,54,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-05:00:00
136,ES1778A,o3,71,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-05:00:00
137,ES1642A,o3,16,ES,Barcelona,41.9356663994661,2.238568301,2020_03_08-05:00:00
138,ES1684A,o3,7,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-05:00:00
139,ES1222A,o3,28,ES,Barcelona,41.6912731944666,2.440944864,2020_03_08-05:00:00
140,ES1125A,o3,24,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-05:00:00
141,ES1438A,o3,55,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-05:00:00
142,ES1923A,o3,39,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-05:00:00
143,ES1815A,o3,33,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-05:00:00
144,ES1135A,o3,12,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-05:00:00
145,ES1892A,o3,34,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-05:00:00
146,ES1262A,o3,39,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-05:00:00
147,ES1816A,o3,76,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-05:00:00
148,ES1339A,o3,50,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-05:00:00
149,ES1135A,o3,9,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-06:00:00
150,ES1815A,o3,26,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-06:00:00
151,ES1438A,o3,41,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-06:00:00
152,ES1262A,o3,34,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-06:00:00
153,ES1642A,o3,13,ES,Barcelona,41.9356663994661,2.238568301,2020_03_08-06:00:00
154,ES1125A,o3,21,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-06:00:00
155,ES1816A,o3,74,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-06:00:00
156,ES0694A,o3,5,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-06:00:00
157,ES1275A,o3,13,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-06:00:00
158,ES1992A,o3,75,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-06:00:00
159,ES1480A,o3,54,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-06:00:00
160,ES1148A,o3,10,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-06:00:00
161,ES1923A,o3,31,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-06:00:00
162,ES1339A,o3,45,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-06:00:00
163,ES1397A,o3,24,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-06:00:00
164,ES1778A,o3,70,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-06:00:00
165,ES1018A,o3,45,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-06:00:00
166,ES1856A,o3,16,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-06:00:00
167,ES1679A,o3,51,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-06:00:00
168,ES1892A,o3,40,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-06:00:00
169,ES1684A,o3,9,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-06:00:00
170,ES1851A,o3,54,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-06:00:00
171,ES0584A,o3,6,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-06:00:00
172,ES1222A,o3,24,ES,Barcelona,41.6912731944666,2.440944864,2020_03_08-06:00:00
173,ES1891A,o3,15,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-06:00:00
174,ES1856A,o3,38,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-07:00:00
175,ES1135A,o3,15,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-07:00:00
176,ES1018A,o3,41,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-07:00:00
177,ES1684A,o3,5,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-07:00:00
178,ES0584A,o3,4,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-07:00:00
179,ES1262A,o3,34,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-07:00:00
180,ES1438A,o3,35,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-07:00:00
181,ES0694A,o3,6,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-07:00:00
182,ES1815A,o3,24,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-07:00:00
183,ES1275A,o3,6,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-07:00:00
184,ES1125A,o3,17,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-07:00:00
185,ES1891A,o3,3,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-07:00:00
186,ES1480A,o3,44,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-07:00:00
187,ES1923A,o3,24,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-07:00:00
188,ES1892A,o3,33,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-07:00:00
189,ES1148A,o3,4,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-07:00:00
190,ES1642A,o3,6,ES,Barcelona,41.9356663994661,2.238568301,2020_03_08-07:00:00
191,ES1339A,o3,40,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-07:00:00
192,ES1397A,o3,23,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-07:00:00
193,ES1816A,o3,65,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-07:00:00
194,ES1851A,o3,51,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-07:00:00
195,ES1778A,o3,64,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-07:00:00
