CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08125002_10_20200229,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,29,29/02/2020,22,V,26,V,24,V,23,V,22,V,23,V,21,V,27,V,33,V,42,V,50,V,67,V,93,V,106,V,106,V,96,V,90,V,85,V,82,V,82,V,83,V,84,V,77,V,78,V,"(41.48197, 2.1882975)"
08125013_10_20200214,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,14,14/02/2020,20,V,18,V,20,V,18,V,17,V,21,V,24,V,32,V,42,V,49,V,49,V,54,V,71,V,40,V,34,V,38,V,36,V,35,V,38,V,37,V,37,V,38,V,37,V,23,V,"(41.469826, 2.1758358)"
08125013_10_20200213,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,13,13/02/2020,10,V,9,V,12,V,13,V,12,V,9,V,15,V,,N,,N,,N,16,V,16,V,14,V,16,V,21,V,27,V,13,V,14,V,15,V,14,V,22,V,26,V,26,V,21,V,"(41.469826, 2.1758358)"
08125013_10_20200212,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,12,12/02/2020,21,V,23,V,20,V,20,V,16,V,24,V,28,V,29,V,8,V,7,V,7,V,8,V,5,V,6,V,9,V,12,V,11,V,10,V,10,V,12,V,12,V,15,V,13,V,12,V,"(41.469826, 2.1758358)"
08125013_10_20200211,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,11,11/02/2020,22,V,22,V,20,V,21,V,19,V,19,V,22,V,29,V,38,V,56,V,62,V,43,V,41,V,17,V,15,V,11,V,23,V,17,V,21,V,22,V,20,V,24,V,23,V,24,V,"(41.469826, 2.1758358)"
08125013_10_20200201,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,1,01/02/2020,32,V,30,V,27,V,23,V,10,V,12,V,12,V,9,V,14,V,17,V,20,V,21,V,15,V,16,V,10,V,11,V,15,V,12,V,15,V,31,V,28,V,27,V,28,V,28,V,"(41.469826, 2.1758358)"
08125013_10_20200202,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,2,02/02/2020,29,V,25,V,25,V,21,V,19,V,18,V,21,V,21,V,23,V,24,V,20,V,16,V,10,V,7,V,9,V,8,V,7,V,6,V,5,V,7,V,8,V,9,V,10,V,9,V,"(41.469826, 2.1758358)"
08125013_10_20200203,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,3,03/02/2020,9,V,11,V,18,V,17,V,15,V,15,V,17,V,25,V,,N,67,V,60,V,34,V,30,V,28,V,40,V,23,V,34,V,50,V,83,V,48,V,28,V,27,V,36,V,39,V,"(41.469826, 2.1758358)"
08125013_10_20200204,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,4,04/02/2020,48,V,53,V,42,V,38,V,39,V,41,V,34,V,31,V,37,V,33,V,38,V,38,V,36,V,55,V,46,V,56,V,33,V,23,V,33,V,32,V,29,V,10,V,31,V,23,V,"(41.469826, 2.1758358)"
08125013_10_20200205,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,5,05/02/2020,4,V,2,V,8,V,9,V,12,V,16,V,17,V,24,V,36,V,39,V,41,V,16,V,10,V,11,V,7,V,14,V,16,V,18,V,20,V,22,V,28,V,24,V,19,V,20,V,"(41.469826, 2.1758358)"
08125013_10_20200206,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,6,06/02/2020,21,V,23,V,17,V,18,V,18,V,19,V,23,V,26,V,31,V,59,V,59,V,37,V,22,V,25,V,26,V,22,V,,N,,N,,N,20,V,20,V,16,V,17,V,21,V,"(41.469826, 2.1758358)"
08125013_10_20200207,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,7,07/02/2020,20,V,20,V,20,V,19,V,16,V,16,V,25,V,29,V,41,V,63,V,62,V,61,V,51,V,34,V,35,V,28,V,24,V,20,V,23,V,24,V,20,V,17,V,19,V,20,V,"(41.469826, 2.1758358)"
08125013_10_20200208,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,8,08/02/2020,17,V,14,V,11,V,12,V,14,V,13,V,15,V,15,V,24,V,33,V,34,V,33,V,23,V,15,V,26,V,31,V,29,V,22,V,27,V,24,V,21,V,18,V,25,V,26,V,"(41.469826, 2.1758358)"
