CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08124009_8_20200214,8124009,8,124,9,Mollet del Vallès,Mollet del Vallès,41.549183,2.2120984,90,traffic,suburban,8,NO2,µg/m3,08124009_8_8,2020,2,14,14/02/2020,28,V,23,V,19,V,19,V,20,V,27,V,40,V,40,V,39,V,39,V,56,V,60,V,65,V,54,V,32,V,24,V,18,V,20,V,22,V,17,V,23,V,38,V,61,V,59,V,"(41.549183, 2.2120984)"
08194008_14_20200214,8194008,8,194,8,Sant Adrià de Besòs,Sant Adrià de Besòs,41.425594,2.2221997,7,industrial,urban,14,O3,µg/m3,08194008_14_6,2020,2,14,14/02/2020,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,6,V,56,V,57,V,66,V,67,V,65,V,62,V,59,V,51,V,45,V,26,V,3,V,2,V,"(41.425594, 2.2221997)"
08279011_8_20200214,8279011,8,279,11,Terrassa,Terrassa,41.556114,2.0073977,109,traffic,urban,8,NO2,µg/m3,08279011_8_8,2020,2,14,14/02/2020,37,V,20,V,12,V,14,V,17,V,27,V,36,V,62,V,67,V,51,V,54,V,33,V,50,V,43,V,47,V,35,V,58,V,74,V,71,V,72,V,65,V,62,V,44,V,36,V,"(41.556114, 2.0073977)"
25051001_14_20200214,25051001,25,51,1,Bellver de Cerdanya,Bellver de Cerdanya,42.368282,1.7767994,1060,background,rural,14,O3,µg/m3,25051001_14_6,2020,2,14,14/02/2020,15,V,10,V,10,V,8,V,6,V,4,V,4,V,4,V,5,V,12,V,21,V,45,V,58,V,64,V,67,V,67,V,64,V,52,V,42,V,23,V,16,V,13,V,11,V,11,V,"(42.368282, 1.7767994)"
08121013_8_20200214,8121013,8,121,13,Mataró,Mataró,41.547176,2.4432983,40,background,urban,8,NO2,µg/m3,08121013_8_8,2020,2,14,14/02/2020,24,V,26,V,22,V,22,V,20,V,22,V,27,V,32,V,48,V,37,V,32,V,,N,20,V,12,V,8,V,10,V,8,V,13,V,10,V,15,V,25,V,31,V,33,V,32,V,"(41.547176, 2.4432983)"
43148003_8_20200214,43148003,43,148,3,Tarragona (Bonavista),Tarragona,41.11591,1.1919986,39,industrial,suburban,8,NO2,µg/m3,43148003_8_8,2020,2,14,14/02/2020,10,V,12,V,23,V,13,V,16,V,22,V,38,V,46,V,48,V,47,V,32,V,26,V,25,V,19,V,18,V,27,V,19,V,30,V,25,V,34,V,43,V,72,V,68,V,54,V,"(41.11591, 1.1919986)"
08121013_14_20200214,8121013,8,121,13,Mataró,Mataró,41.547176,2.4432983,40,background,urban,14,O3,µg/m3,08121013_14_6,2020,2,14,14/02/2020,18,V,14,V,15,V,15,V,14,V,11,V,4,V,11,V,11,V,26,V,32,V,,N,51,V,63,V,67,V,70,V,76,V,72,V,71,V,67,V,58,V,47,V,39,V,39,V,"(41.547176, 2.4432983)"
25051001_8_20200214,25051001,25,51,1,Bellver de Cerdanya,Bellver de Cerdanya,42.368282,1.7767994,1060,background,rural,8,NO2,µg/m3,25051001_8_8,2020,2,14,14/02/2020,9,V,10,V,6,V,7,V,7,V,7,V,8,V,8,V,11,V,11,V,13,V,3,V,2,V,1,V,1,V,1,V,2,V,4,V,17,V,28,V,36,V,31,V,27,V,23,V,"(42.368282, 1.7767994)"
08305006_10_20200214,8305006,8,305,6,Vilafranca del Penedès,Vilafranca del Penedès,41.346813,1.6865987,192,background,suburban,10,PM10,µg/m3,08305006_10_47,2020,2,14,14/02/2020,17,V,17,V,15,V,12,V,12,V,13,V,12,V,18,V,,N,60,V,38,V,38,V,41,V,29,V,15,V,20,V,28,V,27,V,29,V,30,V,26,V,27,V,23,V,23,V,"(41.346813, 1.6865987)"
08121013_10_20200214,8121013,8,121,13,Mataró,Mataró,41.547176,2.4432983,40,background,urban,10,PM10,µg/m3,08121013_10_47,2020,2,14,14/02/2020,21,V,18,V,20,V,22,V,18,V,20,V,23,V,22,V,23,V,23,V,21,V,21,V,22,V,19,V,20,V,24,V,29,V,31,V,32,V,32,V,36,V,41,V,43,V,42,V,"(41.547176, 2.4432983)"
25119002_10_20200214,25119002,25,119,2,Juneda (Pla del Molí),Juneda,41.544083,0.8299007,255,background,rural,10,PM10,µg/m3,25119002_10_47,2020,2,14,14/02/2020,11,V,16,V,21,V,24,V,25,V,24,V,22,V,27,V,25,V,29,V,17,V,9,V,12,V,14,V,15,V,15,V,15,V,15,V,24,V,71,V,29,V,18,V,17,V,16,V,"(41.544083, 0.8299007)"
08114006_8_20200214,8114006,8,114,6,Martorell,Martorell,41.475384,1.9212021,78,background,suburban,8,NO2,µg/m3,08114006_8_8,2020,2,14,14/02/2020,37,V,30,V,25,V,24,V,23,V,23,V,23,V,26,V,28,V,31,V,33,V,32,V,35,V,41,V,42,V,40,V,47,V,36,V,46,V,48,V,54,V,52,V,51,V,54,V,"(41.475384, 1.9212021)"
08114006_10_20200214,8114006,8,114,6,Martorell,Martorell,41.475384,1.9212021,78,background,suburban,10,PM10,µg/m3,08114006_10_47,2020,2,14,14/02/2020,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,"(41.475384, 1.9212021)"
25119002_14_20200214,25119002,25,119,2,Juneda (Pla del Molí),Juneda,41.544083,0.8299007,255,background,rural,14,O3,µg/m3,25119002_14_6,2020,2,14,14/02/2020,36,V,23,V,18,V,9,V,9,V,10,V,11,V,6,V,11,V,20,V,36,V,46,V,46,V,49,V,53,V,56,V,56,V,55,V,44,V,8,V,6,V,10,V,11,V,11,V,"(41.544083, 0.8299007)"
43123005_8_20200214,43123005,43,123,5,Reus,Reus,41.150803,1.1202013,102,traffic,suburban,8,NO2,µg/m3,43123005_8_8,2020,2,14,14/02/2020,9,V,19,V,13,V,9,V,15,V,9,V,28,V,37,V,33,V,19,V,14,V,21,V,23,V,22,V,19,V,22,V,18,V,24,V,30,V,38,V,39,V,55,V,48,V,31,V,"(41.150803, 1.1202013)"
43148003_10_20200214,43148003,43,148,3,Tarragona (Bonavista),Tarragona,41.11591,1.1919986,39,industrial,suburban,10,PM10,µg/m3,43148003_10_47,2020,2,14,14/02/2020,7,V,8,V,12,V,8,V,11,V,12,V,16,V,22,V,19,V,25,V,28,V,34,V,29,V,23,V,31,V,40,V,34,V,34,V,25,V,28,V,30,V,35,V,42,V,49,V,"(41.11591, 1.1919986)"
08113007_8_20200214,8113007,8,113,7,Manresa,Manresa,41.730293,1.8253003,238,traffic,urban,8,NO2,µg/m3,08113007_8_8,2020,2,14,14/02/2020,28,V,25,V,20,V,19,V,17,V,14,V,15,V,17,V,18,V,25,V,26,V,24,V,26,V,19,V,16,V,13,V,15,V,27,V,48,V,55,V,57,V,40,V,32,V,25,V,"(41.730293, 1.8253003)"
43171001_8_20200214,43171001,43,171,1,Vila-seca,Vila-seca,41.111958,1.1519431,41,background,suburban,8,NO2,µg/m3,43171001_8_8,2020,2,14,14/02/2020,5,V,10,V,13,V,5,V,4,V,12,V,35,V,27,V,33,V,15,V,15,V,29,V,30,V,23,V,19,V,22,V,27,V,34,V,32,V,52,V,52,V,69,V,60,V,48,V,"(41.111958, 1.1519431)"
25119002_8_20200214,25119002,25,119,2,Juneda (Pla del Molí),Juneda,41.544083,0.8299007,255,background,rural,8,NO2,µg/m3,25119002_8_8,2020,2,14,14/02/2020,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,"(41.544083, 0.8299007)"
